constructorResultsId,raceId,constructorId,points,status
3,18,3,9,\N
20,19,3,0,\N
28,20,3,1,\N
39,21,3,2,\N
50,22,3,1,\N
61,23,3,2,\N
72,24,3,0,\N
83,25,3,0,\N
91,26,3,1,\N
101,27,3,0,\N
112,28,3,0,\N
120,29,3,1,\N
132,30,3,0,\N
142,31,3,0,\N
146,32,3,9,\N
161,33,3,0,\N
173,34,3,0,\N
182,35,3,0,\N
189,36,3,2,\N
201,37,3,0,\N
212,38,3,0,\N
222,39,3,3,\N
233,40,3,2,\N
242,41,3,6,\N
257,42,3,0,\N
267,43,3,0,\N
279,44,3,0,\N
287,45,3,5,\N
299,46,3,2,\N
310,47,3,2,\N
320,48,3,3,\N
331,49,3,3,\N
349,50,3,0,\N
357,51,3,0,\N
363,52,3,5,\N
376,53,3,5,\N
393,54,3,0,\N
404,55,3,0,\N
408,56,3,3,\N
420,57,3,2,\N
432,58,3,0,\N
448,59,3,0,\N
453,60,3,0,\N
468,61,3,0,\N
477,62,3,0,\N
489,63,3,0,\N
500,64,3,0,\N
514,65,3,0,\N
520,66,3,0,\N
532,67,3,0,\N
542,68,3,1,\N
554,69,3,0,\N
569,70,3,0,\N
573,71,3,4,\N
582,72,3,6,\N
593,73,3,3,\N
605,74,3,5,\N
613,75,3,3,\N
620,76,3,14,\N
629,77,3,8,\N
641,78,3,4,\N
655,79,3,0,\N
665,80,3,0,\N
674,81,3,0,\N
685,82,3,0,\N
692,83,3,5,\N
707,84,3,0,\N
711,85,3,2,\N
721,86,3,5,\N
737,87,3,0,\N
740,88,3,5,\N
753,89,3,2,\N
760,90,3,9,\N
769,91,3,8,\N
781,92,3,2,\N
790,93,3,8,\N
801,94,3,3,\N
811,95,3,5,\N
823,96,3,1,\N
836,97,3,0,\N
846,98,3,0,\N
852,99,3,1,\N
861,100,3,4,\N
872,101,3,6,\N
880,102,3,7,\N
895,103,3,0,\N
900,104,3,6,\N
912,105,3,4,\N
919,106,3,10,\N
928,107,3,14,\N
939,108,3,9,\N
951,109,3,5,\N
963,110,3,2,\N
970,111,3,7,\N
980,112,3,9,\N
991,113,3,3,\N
998,114,3,15,\N
1009,115,3,14,\N
1018,116,3,18,\N
1028,117,3,18,\N
1039,118,3,8,\N
1048,119,3,10,\N
1060,120,3,11,\N
1069,121,3,12,\N
1082,122,3,3,\N
1095,123,3,0,\N
1099,124,3,6,\N
1109,125,3,16,\N
1121,126,3,8,\N
1132,127,3,7,\N
1143,128,3,6,\N
1154,129,3,7,\N
1166,130,3,4,\N
1179,131,3,0,\N
1188,132,3,3,\N
1198,133,3,4,\N
1210,134,3,5,\N
1220,135,3,10,\N
1231,136,3,4,\N
1241,137,3,6,\N
1259,138,3,0,\N
1262,139,3,3,\N
1272,140,3,3,\N
1290,141,3,0,\N
1294,142,3,2,\N
1310,143,3,0,\N
1313,144,3,10,\N
1325,145,3,6,\N
1343,146,3,0,\N
1354,147,3,0,\N
1357,148,3,10,\N
1369,149,3,9,\N
1380,150,3,6,\N
1392,151,3,3,\N
1401,152,3,10,\N
1414,153,3,3,\N
1427,154,3,0,\N
1434,155,3,14,\N
1454,156,3,0,\N
1457,157,3,7,\N
1468,158,3,4,\N
1481,159,3,3,\N
1498,160,3,0,\N
1502,161,3,5,\N
1513,162,3,3,\N
1529,163,3,0,\N
1542,164,3,0,\N
1551,165,3,0,\N
1558,166,3,2,\N
1569,167,3,2,\N
1579,168,3,3,\N
1590,169,3,2,\N
1601,170,3,6,\N
1612,171,3,4,\N
1630,172,3,0,\N
1634,173,3,2,\N
1653,174,3,0,\N
1656,175,3,4,\N
1668,176,3,3,\N
1684,177,3,0,\N
1692,178,3,0,\N
1700,179,3,2,\N
1712,180,3,3,\N
1723,181,3,3,\N
1733,182,3,4,\N
1752,183,3,0,\N
1755,184,3,3,\N
1770,185,3,0,\N
1778,186,3,2,\N
1787,187,3,6,\N
1799,188,3,3,\N
1815,189,3,0,\N
1822,190,3,2,\N
1831,191,3,6,\N
1844,192,3,2,\N
1857,193,3,0,\N
1865,194,3,5,\N
1878,195,3,1,\N
1889,196,3,2,\N
1902,197,3,0,\N
1909,198,3,3,\N
1922,199,3,0,\N
1932,200,3,1,\N
1941,201,3,4,\N
1953,202,3,6,\N
1964,203,3,3,\N
1977,204,3,0,\N
1986,205,3,2,\N
1998,206,3,3,\N
2011,207,3,0,\N
2018,208,3,10,\N
2029,209,3,10,\N
2040,210,3,10,\N
2058,211,3,0,\N
2062,212,3,10,\N
2076,213,3,3,\N
2085,214,3,9,\N
2095,215,3,10,\N
2115,216,3,0,\N
2117,217,3,10,\N
2130,218,3,6,\N
2141,219,3,6,\N
2150,220,3,14,\N
2161,221,3,14,\N
2173,222,3,6,\N
2184,223,3,5,\N
2194,224,3,16,\N
2205,225,3,10,\N
2216,226,3,16,\N
2227,227,3,13,\N
2238,228,3,10,\N
2254,229,3,0,\N
2262,230,3,4,\N
2271,231,3,16,\N
2282,232,3,16,\N
2293,233,3,10,\N
2304,234,3,14,\N
2314,235,3,16,\N
2325,236,3,8,\N
2339,237,3,0,\N
2344,238,3,16,\N
2354,239,3,10,\N
2365,240,3,6,\N
2377,241,3,10,\N
2390,242,3,13,\N
2405,243,3,3,\N
2417,244,3,6,\N
2437,245,3,0,\N
2442,246,3,10,\N
2455,247,3,4,\N
2466,248,3,6,\N
2477,249,3,16,\N
2490,250,3,6,\N
2510,251,3,0,\N
2513,252,3,14,\N
2527,253,3,4,\N
2538,254,3,10,\N
2557,255,3,0,\N
2561,256,3,10,\N
2574,257,3,6,\N
2598,258,3,0,\N
2606,259,3,1,\N
2627,260,3,0,\N
2629,261,3,10,\N
2644,262,3,8,\N
2658,263,3,6,\N
2671,264,3,12,\N
2689,265,3,0,\N
2700,266,3,6,\N
2713,267,3,13,\N
2727,268,3,11,\N
2741,269,3,16,\N
2756,270,3,6,\N
2769,271,3,13,\N
2783,272,3,10,\N
2797,273,3,10,\N
2811,274,3,6,\N
2824,275,3,10,\N
2836,276,3,10,\N
2849,277,3,10,\N
2863,278,3,9,\N
2875,279,3,14,\N
2888,280,3,16,\N
2901,281,3,10,\N
2914,282,3,10,\N
2927,283,3,10,\N
2940,284,3,14,\N
2953,285,3,10,\N
2967,286,3,10,\N
2980,287,3,9,\N
2992,288,3,10,\N
3003,289,3,16,\N
3019,290,3,16,\N
3034,291,3,16,\N
3049,292,3,10,\N
3065,293,3,16,\N
3082,294,3,10,\N
3107,295,3,0,\N
3113,296,3,16,\N
3128,297,3,16,\N
3144,298,3,10,\N
3161,299,3,6,\N
3177,300,3,10,\N
3193,301,3,2,\N
3205,302,3,10,\N
3218,303,3,10,\N
3242,304,3,0,\N
3255,305,3,0,\N
3263,306,3,6,\N
3292,307,3,0,\N
3299,308,3,6,\N
3318,309,3,5,\N
3334,310,3,16,\N
3352,311,3,12,\N
3370,312,3,10,\N
3388,313,3,16,\N
3407,314,3,10,\N
3426,315,3,2,\N
3442,316,3,10,\N
3460,317,3,10,\N
3478,318,3,14,\N
3496,319,3,4,\N
3513,320,3,4,\N
3531,321,3,4,\N
3550,322,3,2,\N
3567,323,3,9,\N
3588,324,3,3,\N
3617,325,3,0,\N
3627,326,3,2,\N
3647,327,3,1,\N
3663,328,3,6,\N
3684,329,3,3,\N
3700,330,3,12,\N
3732,331,3,0,\N
3739,332,3,2,\N
3758,333,3,0,\N
3775,334,3,5,\N
3793,335,3,5,\N
3810,336,3,3,\N
3827,1,3,3,\N
3838,2,3,0.5,\N
3852,3,3,0,\N
3859,4,3,0,\N
3868,5,3,1,\N
3876,6,3,3,\N
3886,7,3,4,\N
3896,8,3,4,\N
3905,9,3,5,\N
3916,10,3,5,\N
3926,11,3,4,\N
3939,12,3,1,\N
3950,13,3,0,\N
3959,14,3,0,\N
3967,15,3,4,\N
3982,16,3,0,\N
3994,356,3,0,\N
4005,357,3,3,\N
4029,358,3,0,\N
4044,359,3,6,\N
4064,360,3,7,\N
4083,361,3,15,\N
4105,362,3,4,\N
4130,363,3,0,\N
4145,364,3,3,\N
4165,365,3,4,\N
4185,366,3,3,\N
4205,367,3,7,\N
4234,368,3,0,\N
4246,369,3,2,\N
4264,370,3,10,\N
4283,371,3,13,\N
4316,372,3,0,\N
4329,373,3,0,\N
4343,374,3,1,\N
4371,375,3,0,\N
4390,376,3,0,\N
4404,377,3,0,\N
4424,378,3,0,\N
4430,379,3,6,\N
4461,380,3,0,\N
4469,381,3,1,\N
4487,382,3,0,\N
4505,383,3,0,\N
4530,384,3,0,\N
4538,385,3,8,\N
4558,386,3,1,\N
4575,387,3,3,\N
4592,388,3,7,\N
4604,389,3,9,\N
4629,390,3,0,\N
4635,391,3,6,\N
4650,392,3,8,\N
4664,393,3,15,\N
4679,394,3,15,\N
4694,395,3,9,\N
4709,396,3,9,\N
4724,397,3,15,\N
4739,398,3,13,\N
4757,399,3,4,\N
4769,400,3,12,\N
4785,401,3,15,\N
4808,402,3,0,\N
4821,403,3,0,\N
4829,404,3,9,\N
4843,405,3,6,\N
4856,406,3,6,\N
4870,407,3,3,\N
4881,408,3,9,\N
4894,409,3,13,\N
4911,410,3,2,\N
4920,411,3,13,\N
4933,412,3,15,\N
4946,413,3,13,\N
4959,414,3,13,\N
4980,415,3,0,\N
4985,416,3,15,\N
4999,417,3,13,\N
5016,418,3,5,\N
5027,419,3,6,\N
5050,420,3,0,\N
5056,421,3,2,\N
5072,422,3,2,\N
5088,423,3,0,\N
5099,424,3,4,\N
5111,425,3,9,\N
5126,426,3,6,\N
5151,427,3,0,\N
5159,428,3,1,\N
5182,429,3,0,\N
5188,430,3,1,\N
5208,431,3,0,\N
5216,432,3,9,\N
5230,433,3,13,\N
5245,434,3,15,\N
5257,435,3,9,\N
5272,436,3,6,\N
5296,437,3,0,\N
5303,438,3,3,\N
5330,439,3,0,\N
5335,440,3,1,\N
5349,441,3,1.5,\N
5374,442,3,0,\N
5379,443,3,2,\N
5391,444,3,12,\N
5418,445,3,0,\N
5433,446,3,0,\N
5448,447,3,0,\N
5456,448,3,0,\N
5478,449,3,0,\N
5491,450,3,0,\N
5503,451,3,0,\N
5510,452,3,3,\N
5525,453,3,3,\N
5541,454,3,3,\N
5555,455,3,3,\N
5568,456,3,9,\N
5586,457,3,3,\N
5599,458,3,8,\N
5614,459,3,3,\N
5634,460,3,0,\N
5648,461,3,1,\N
5665,462,3,0,\N
5686,463,3,0,\N
5698,464,3,0,\N
5716,465,3,0,\N
5726,466,3,2,\N
5738,467,3,8,\N
5764,468,3,0,\N
5772,469,3,6,\N
5796,471,3,6,\N
5816,472,3,1,\N
5832,473,3,5,\N
5850,474,3,0,\N
5863,475,3,6,\N
5881,476,3,2,\N
5897,477,3,2,\N
5913,478,3,4,\N
5929,479,3,6,\N
5945,480,3,9,\N
5968,481,3,0,\N
5983,482,3,3,\N
5996,483,3,15,\N
6012,484,3,15,\N
6029,485,3,9,\N
6046,486,3,4,\N
6061,487,3,9,\N
6079,488,3,6,\N
6098,489,3,3,\N
6118,490,3,0,\N
6130,491,3,6,\N
6155,492,3,0,\N
6166,493,3,5,\N
6181,494,3,4,\N
6197,495,3,10,\N
6221,496,3,0,\N
6230,497,3,9,\N
6247,498,3,9,\N
6264,499,3,4,\N
