constructorResultsId,raceId,constructorId,points,status
10028,749,117,0,\N
9872,763,117,0,\N
9935,762,117,0,\N
9910,758,117,0,\N
9919,760,117,0,\N
10047,752,117,0,\N
16235,1052,117,1,\N
16244,1053,117,4,\N
16257,1054,117,0,\N
16266,1055,117,0,\N
16273,1056,117,14,\N
16281,1057,117,18,\N
16295,1059,117,3,\N
16304,1058,117,4,\N
16317,1060,117,0,\N
16324,1061,117,4,\N
16331,1062,117,0,\N
16344,1063,117,5,\N
16356,1064,117,0,\N
16364,1065,117,6,\N
16377,1066,117,0,\N
16385,1067,117,2,\N
16395,1069,117,1,\N
16404,1070,117,6,\N
16416,1071,117,0,\N
16423,1051,117,9,\N
16437,1072,117,0,\N
16446,1073,117,0,\N
16456,1074,117,0,\N
16468,1075,117,0,\N
16478,1076,117,0,\N
16486,1077,117,5,\N
16496,1078,117,1,\N
16507,1079,117,0,\N
16516,1080,117,1,\N
16523,1081,117,8,\N
16535,1082,117,1,\N
16546,1083,117,2,\N
16558,1084,117,0,\N
16565,1085,117,1,\N
16575,1086,117,1,\N
16584,1087,117,4,\N
16595,1088,117,1,\N
16609,1089,117,0,\N
16613,1091,117,12,\N
16624,1092,117,8,\N
16634,1093,117,4,\N
16648,1094,117,0,\N
16655,1095,117,1,\N
16665,1096,117,5,\N
16671,1098,117,23,\N
16682,1099,117,15,\N
16692,1100,117,27,\N
16702,1101,117,22,\N
16711,1102,117,15,\N
16721,1104,117,18,\N
16733,1105,117,14,\N
16741,1106,117,20,\N
16753,1107,117,21,\N
16763,1108,117,6,\N
16774,1109,117,3,\N
16783,1110,117,12,\N
16791,1111,117,19,\N
16805,1112,117,2,\N
16819,1113,117,0,\N
16824,1114,117,4,\N
16834,1115,117,9,\N
16845,1116,117,6,\N
16859,1117,117,0,\N
16862,1118,117,25,\N
16873,1119,117,12,\N
16884,1120,117,7,\N
16894,1121,117,3,\N
16903,1122,117,10,\N
16913,1123,117,12,\N
16923,1124,117,8,\N
16934,1125,117,7,\N
16945,1126,117,2,\N
16954,1127,117,2,\N
16967,1128,117,0,\N
16973,1129,117,14,\N
16986,1130,117,0,\N
16997,1131,117,0,\N
17005,1132,117,10,\N
