constructorResultsId,raceId,constructorId,points,status
3,18,3,9,\N
12,19,6,10,\N
20,19,3,0,\N
27,20,9,2,\N
34,21,6,18,\N
37,21,9,4,\N
49,22,9,2,\N
57,23,6,6,\N
61,23,3,2,\N
68,24,6,4,\N
71,24,1,0,\N
85,26,1,14,\N
88,26,6,5,\N
92,26,9,0,\N
97,27,6,9,\N
112,28,3,0,\N
115,29,6,10,\N
122,29,9,0,\N
125,30,6,10,\N
139,31,6,3,\N
142,31,3,0,\N
146,32,3,9,\N
153,32,6,0,\N
165,34,1,10,\N
171,34,9,0,\N
178,35,1,6,\N
180,35,9,0,\N
186,36,1,14,D
193,36,9,0,\N
197,37,6,10,\N
208,38,1,12,D
216,38,9,0,\N
221,39,9,4,\N
230,40,6,7,\N
233,40,3,2,\N
242,41,3,6,\N
247,41,9,0,\N
257,42,3,0,\N
262,43,6,18,\N
269,43,9,0,\N
274,44,1,14,D
284,45,1,10,D
286,45,9,10,\N
296,46,6,8,\N
299,46,3,2,\N
310,47,3,2,\N
317,48,1,18,D
323,48,9,0,\N
329,49,1,11,D
339,50,1,10,D
342,50,9,5,\N
355,51,9,1,\N
362,52,1,8,D
363,52,3,5,\N
373,53,6,8,\N
385,54,1,5,\N
386,54,6,7,\N
399,55,9,1,\N
404,55,3,0,\N
414,56,9,0,\N
420,57,3,2,\N
426,57,9,0,\N
428,58,6,13,\N
434,58,9,0,\N
439,59,1,8,\N
451,60,1,9,\N
456,60,9,0,\N
462,61,1,6,\N
471,62,6,18,\N
477,62,3,0,\N
482,63,6,16,\N
489,63,3,0,\N
493,64,6,18,\N
500,64,3,0,\N
514,65,3,0,\N
520,66,3,0,\N
521,66,9,0,\N
533,67,9,0,\N
537,68,6,10,\N
551,69,1,4,\N
554,69,3,0,\N
566,70,9,0,\N
573,71,3,4,\N
576,71,15,0,\N
582,72,3,6,\N
584,72,9,4,\N
585,72,6,2,\N
601,74,6,8,\N
602,74,1,6,\N
606,74,9,1,\N
614,75,9,1,\N
620,76,3,14,\N
624,76,15,0,\N
629,77,3,8,\N
632,77,1,2,\N
640,78,15,5,\N
641,78,3,4,\N
652,79,1,0,\N
656,79,15,0,\N
664,80,9,0,\N
665,80,3,0,\N
674,81,3,0,\N
679,82,1,8,\N
685,82,3,0,\N
688,83,1,10,\N
697,83,9,0,\N
698,84,1,16,\N
708,85,1,15,\N
711,85,3,2,\N
713,85,15,0,\N
714,85,6,0,\N
730,87,6,8,\N
733,87,9,0,\N
738,88,1,10,\N
742,88,9,3,\N
752,89,15,3,\N
753,89,3,2,\N
760,90,3,9,\N
762,90,1,1,\N
778,92,6,18,\N
781,92,3,2,\N
