constructorResultsId,raceId,constructorId,points,status
1,18,mclaren,14,\N
3,18,williams,9,\N
6,18,ferrari,1,\N
9,18,red_bull,0,\N
12,19,ferrari,10,\N
14,19,mclaren,10,\N
16,19,red_bull,2,\N
20,19,williams,0,\N
23,20,ferrari,18,\N
25,20,mclaren,4,\N
27,20,red_bull,2,\N
28,20,williams,1,\N
34,21,ferrari,18,\N
35,21,mclaren,6,\N
37,21,red_bull,4,\N
39,21,williams,2,\N
45,22,ferrari,16,\N
46,22,mclaren,8,\N
49,22,red_bull,2,\N
50,22,williams,1,\N
55,23,mclaren,11,\N
57,23,ferrari,6,\N
58,23,red_bull,5,\N
61,23,williams,2,\N
66,24,red_bull,6,\N
68,24,ferrari,4,\N
71,24,mclaren,0,\N
72,24,williams,0,\N
75,25,ferrari,18,\N
77,25,mclaren,5,\N
79,25,red_bull,3,\N
83,25,williams,0,\N
85,26,mclaren,14,\N
88,26,ferrari,5,\N
91,26,williams,1,\N
92,26,red_bull,0,\N
95,27,mclaren,14,\N
97,27,ferrari,9,\N
101,27,williams,0,\N
102,27,red_bull,0,\N
105,28,mclaren,14,\N
107,28,ferrari,6,\N
110,28,red_bull,0,\N
112,28,williams,0,\N
115,29,ferrari,10,\N
116,29,mclaren,13,\N
120,29,williams,1,\N
122,29,red_bull,0,\N
125,30,ferrari,10,\N
127,30,mclaren,6,\N
130,30,red_bull,1,\N
132,30,williams,0,\N
136,31,mclaren,10,\N
139,31,ferrari,3,\N
140,31,red_bull,1,\N
142,31,williams,0,\N
146,32,williams,9,\N
147,32,mclaren,6,\N
151,32,red_bull,2,\N
153,32,ferrari,0,\N
157,33,ferrari,8,\N
160,33,red_bull,1,\N
161,33,williams,0,\N
162,33,mclaren,0,\N
165,34,mclaren,10,\N
166,34,ferrari,14,\N
171,34,red_bull,0,\N
173,34,williams,0,\N
175,35,ferrari,16,\N
178,35,mclaren,6,\N
180,35,red_bull,0,\N
182,35,williams,0,\N
185,36,ferrari,13,\N
186,36,mclaren,14,D
189,36,williams,2,\N
193,36,red_bull,0,\N
196,37,mclaren,18,D
197,37,ferrari,10,\N
201,37,williams,0,\N
202,37,red_bull,0,\N
207,38,ferrari,16,\N
208,38,mclaren,12,D
212,38,williams,0,\N
216,38,red_bull,0,\N
218,39,ferrari,10,\N
219,39,mclaren,14,D
221,39,red_bull,4,\N
222,39,williams,3,\N
229,40,mclaren,18,D
230,40,ferrari,7,\N
233,40,williams,2,\N
236,40,red_bull,0,\N
240,41,mclaren,12,D
242,41,williams,6,\N
244,41,ferrari,4,\N
247,41,red_bull,0,\N
251,42,mclaren,18,D
252,42,ferrari,11,\N
255,42,red_bull,2,\N
257,42,williams,0,\N
262,43,ferrari,18,\N
263,43,mclaren,8,D
267,43,williams,0,\N
269,43,red_bull,0,\N
273,44,ferrari,14,\N
274,44,mclaren,14,D
278,44,red_bull,0,\N
279,44,williams,0,\N
284,45,mclaren,10,D
285,45,ferrari,8,\N
286,45,red_bull,10,\N
287,45,williams,5,\N
295,46,mclaren,15,D
296,46,ferrari,8,\N
299,46,williams,2,\N
301,46,red_bull,0,\N
306,47,ferrari,18,\N
307,47,mclaren,10,D
310,47,williams,2,\N
311,47,red_bull,0,\N
317,48,mclaren,18,D
318,48,ferrari,6,\N
320,48,williams,3,\N
323,48,red_bull,0,\N
328,49,ferrari,18,\N
329,49,mclaren,11,D
331,49,williams,3,\N
332,49,red_bull,2,\N
339,50,mclaren,10,D
341,50,ferrari,9,\N
342,50,red_bull,5,\N
349,50,williams,0,\N
350,51,ferrari,16,\N
351,51,mclaren,8,D
355,51,red_bull,1,\N
357,51,williams,0,\N
361,52,ferrari,18,\N
362,52,mclaren,8,D
363,52,williams,5,\N
366,52,red_bull,0,\N
373,53,ferrari,8,\N
374,53,mclaren,10,\N
376,53,williams,5,\N
377,53,red_bull,1,\N
385,54,mclaren,5,\N
386,54,ferrari,7,\N
392,54,red_bull,0,\N
393,54,williams,0,\N
395,55,mclaren,8,\N
399,55,red_bull,1,\N
403,55,ferrari,0,\N
404,55,williams,0,\N
405,56,ferrari,15,\N
407,56,mclaren,10,\N
408,56,williams,3,\N
414,56,red_bull,0,\N
416,57,ferrari,16,\N
418,57,mclaren,5,\N
420,57,williams,2,\N
426,57,red_bull,0,\N
428,58,ferrari,13,\N
429,58,mclaren,4,\N
432,58,williams,0,\N
434,58,red_bull,0,\N
439,59,mclaren,8,\N
440,59,red_bull,6,\N
442,59,ferrari,4,\N
448,59,williams,0,\N
450,60,ferrari,12,\N
451,60,mclaren,9,\N
453,60,williams,0,\N
456,60,red_bull,0,\N
461,61,ferrari,12,\N
462,61,mclaren,6,\N
465,61,red_bull,1,\N
468,61,williams,0,\N
471,62,ferrari,18,\N
475,62,red_bull,2,\N
477,62,williams,0,\N
481,62,mclaren,0,\N
482,63,ferrari,16,\N
485,63,mclaren,6,\N
487,63,red_bull,0,\N
489,63,williams,0,\N
493,64,ferrari,18,\N
494,64,mclaren,6,\N
498,64,red_bull,1,\N
500,64,williams,0,\N
505,65,mclaren,8,\N
507,65,red_bull,4,\N
509,65,ferrari,3,\N
514,65,williams,0,\N
515,66,ferrari,16,\N
518,66,mclaren,4,\N
520,66,williams,0,\N
521,66,red_bull,0,\N
526,67,ferrari,10,\N
527,67,mclaren,8,\N
532,67,williams,0,\N
533,67,red_bull,0,\N
537,68,ferrari,10,\N
540,68,mclaren,4,\N
542,68,williams,1,\N
543,68,red_bull,0,\N
549,69,ferrari,8,\N
551,69,mclaren,4,\N
554,69,williams,0,\N
555,69,red_bull,0,\N
559,70,ferrari,15,\N
562,70,mclaren,5,\N
566,70,red_bull,0,\N
569,70,williams,0,\N
571,71,ferrari,8,\N
572,71,red_bull,7,\N
573,71,williams,4,\N
574,71,mclaren,4,\N
576,71,sauber,0,\N
582,72,williams,6,\N
583,72,mclaren,5,\N
584,72,red_bull,4,\N
585,72,ferrari,2,\N
586,72,sauber,0,\N
592,73,mclaren,10,\N
593,73,williams,3,\N
594,73,sauber,2,\N
595,73,red_bull,1,\N
596,73,ferrari,0,\N
601,74,ferrari,8,\N
602,74,mclaren,6,\N
603,74,sauber,5,\N
605,74,williams,5,\N
606,74,red_bull,1,\N
610,75,mclaren,12,\N
613,75,williams,3,\N
614,75,red_bull,1,\N
615,75,ferrari,0,\N
616,75,sauber,0,\N
619,76,mclaren,14,\N
620,76,williams,14,\N
623,76,ferrari,3,\N
624,76,sauber,0,\N
627,76,red_bull,0,\N
629,77,williams,8,\N
630,77,ferrari,10,\N
631,77,red_bull,5,\N
632,77,mclaren,2,\N
635,77,sauber,0,\N
638,78,mclaren,10,\N
639,78,ferrari,14,\N
640,78,sauber,5,\N
641,78,williams,4,\N
643,78,red_bull,3,\N
648,79,ferrari,18,\N
652,79,mclaren,0,\N
655,79,williams,0,\N
656,79,sauber,0,\N
657,79,red_bull,0,\N
659,80,mclaren,8,\N
660,80,ferrari,6,\N
663,80,sauber,1,\N
664,80,red_bull,0,\N
665,80,williams,0,\N
668,81,mclaren,16,\N
671,81,ferrari,5,\N
673,81,sauber,0,\N
674,81,williams,0,\N
675,81,red_bull,0,\N
679,82,mclaren,8,\N
681,82,ferrari,4,\N
683,82,red_bull,2,\N
684,82,sauber,1,\N
685,82,williams,0,\N
688,83,mclaren,10,\N
689,83,ferrari,8,\N
692,83,williams,5,\N
695,83,sauber,0,\N
697,83,red_bull,0,\N
698,84,mclaren,16,\N
702,84,red_bull,3,\N
703,84,ferrari,0,\N
704,84,sauber,0,\N
707,84,williams,0,\N
708,85,mclaren,15,\N
711,85,williams,2,\N
713,85,sauber,0,\N
714,85,ferrari,0,\N
715,85,red_bull,0,\N
718,86,mclaren,10,\N
721,86,williams,5,\N
722,86,ferrari,4,\N
723,86,sauber,3,\N
726,86,red_bull,0,\N
728,87,mclaren,18,\N
730,87,ferrari,8,\N
733,87,red_bull,0,\N
734,87,sauber,0,\N
737,87,williams,0,\N
738,88,mclaren,10,\N
740,88,williams,5,\N
742,88,red_bull,3,\N
743,88,ferrari,2,\N
745,88,sauber,0,\N
749,89,mclaren,8,\N
751,89,red_bull,4,\N
752,89,sauber,3,\N
753,89,williams,2,\N
756,89,ferrari,0,\N
758,90,ferrari,18,\N
760,90,williams,9,\N
762,90,mclaren,1,\N
763,90,sauber,0,\N
768,91,ferrari,15,\N
769,91,williams,8,\N
772,91,mclaren,3,\N
773,91,sauber,1,\N
778,92,ferrari,18,\N
781,92,williams,2,\N
784,92,sauber,0,\N
787,92,mclaren,0,\N
788,93,ferrari,13,\N
790,93,williams,8,\N
792,93,mclaren,1,\N
793,93,sauber,0,\N
798,94,ferrari,18,\N
801,94,williams,3,\N
802,94,sauber,2,\N
803,94,mclaren,0,\N
810,95,ferrari,6,\N
811,95,williams,5,\N
812,95,sauber,4,\N
816,95,mclaren,0,\N
818,96,ferrari,18,\N
821,96,sauber,3,\N
823,96,williams,1,\N
827,96,mclaren,0,\N
828,97,ferrari,18,\N
830,97,sauber,5,\N
831,97,mclaren,7,\N
836,97,williams,0,\N
838,98,ferrari,18,\N
842,98,mclaren,5,\N
844,98,sauber,0,\N
846,98,williams,0,\N
848,99,ferrari,16,\N
851,99,mclaren,5,\N
852,99,williams,1,\N
854,99,sauber,0,\N
858,100,ferrari,16,\N
859,100,mclaren,10,\N
861,100,williams,4,\N
862,100,sauber,3,\N
868,101,ferrari,10,\N
871,101,mclaren,5,\N
872,101,williams,6,\N
874,101,sauber,0,\N
878,102,ferrari,18,\N
880,102,williams,7,\N
882,102,sauber,1,\N
883,102,mclaren,0,\N
888,103,mclaren,12,\N
889,103,ferrari,14,\N
890,103,sauber,9,\N
895,103,williams,0,\N
898,104,ferrari,18,\N
900,104,williams,6,\N
901,104,mclaren,3,\N
902,104,sauber,1,\N
908,105,ferrari,10,\N
910,105,mclaren,6,\N
912,105,williams,4,\N
913,105,sauber,3,\N
918,106,ferrari,10,\N
919,106,williams,10,\N
922,106,mclaren,3,\N
923,106,sauber,1,\N
928,107,williams,14,\N
929,107,mclaren,8,\N
930,107,ferrari,8,\N
933,107,sauber,1,\N
938,108,mclaren,16,\N
939,108,williams,9,\N
940,108,ferrari,5,\N
942,108,sauber,3,\N
948,109,mclaren,10,\N
949,109,ferrari,11,\N
951,109,williams,5,\N
953,109,sauber,1,\N
959,110,mclaren,13,\N
961,110,sauber,4,\N
963,110,williams,2,\N
966,110,ferrari,0,\N
968,111,ferrari,16,\N
969,111,mclaren,12,\N
970,111,williams,7,\N
974,111,sauber,0,\N
978,112,ferrari,16,\N
980,112,williams,9,\N
985,112,sauber,0,\N
987,112,mclaren,0,\N
988,113,ferrari,16,\N
989,113,mclaren,12,\N
991,113,williams,3,\N
997,113,sauber,0,\N
998,114,williams,15,\N
999,114,mclaren,10,\N
1000,114,ferrari,7,\N
1004,114,sauber,0,\N
1008,115,ferrari,14,\N
1009,115,williams,14,\N
1011,115,mclaren,3,\N
1016,115,sauber,0,\N
1018,116,williams,18,\N
1019,116,ferrari,10,\N
1023,116,sauber,1,\N
1026,116,mclaren,0,\N
1028,117,williams,18,\N
1029,117,ferrari,8,\N
1030,117,mclaren,9,\N
1034,117,sauber,0,\N
1038,118,ferrari,15,\N
1039,118,williams,8,\N
1040,118,mclaren,10,\N
1044,118,sauber,0,\N
1048,119,williams,10,\N
1049,119,mclaren,8,\N
1052,119,ferrari,2,\N
1054,119,sauber,0,\N
1059,120,mclaren,12,\N
1060,120,williams,11,\N
1062,120,ferrari,1,\N
1063,120,sauber,0,\N
1068,121,ferrari,16,\N
1069,121,williams,12,\N
1070,121,mclaren,5,\N
1074,121,sauber,0,\N
1078,122,ferrari,10,\N
1079,122,mclaren,8,\N
1080,122,sauber,10,\N
1082,122,williams,3,\N
1088,123,ferrari,11,\N
1089,123,mclaren,14,\N
1093,123,sauber,0,\N
1095,123,williams,0,\N
1098,124,ferrari,10,\N
1099,124,williams,6,\N
1100,124,mclaren,4,\N
1108,124,sauber,0,\N
1109,125,williams,16,\N
1110,125,ferrari,4,\N
1112,125,sauber,3,\N
1119,125,mclaren,0,\N
1120,126,ferrari,10,\N
1121,126,williams,8,\N
1122,126,mclaren,4,\N
1129,126,sauber,0,\N
1131,127,ferrari,16,\N
1132,127,williams,7,\N
1134,127,mclaren,1,\N
1136,127,sauber,0,\N
1142,128,ferrari,10,\N
1143,128,williams,6,\N
1144,128,mclaren,4,\N
1145,128,sauber,5,\N
1153,129,ferrari,16,\N
1154,129,williams,7,\N
1156,129,mclaren,1,\N
1163,129,sauber,0,\N
1164,130,mclaren,10,\N
1165,130,ferrari,6,\N
1166,130,williams,4,\N
1170,130,sauber,0,\N
1175,131,ferrari,14,\N
1176,131,mclaren,9,\N
1179,131,williams,0,\N
1181,131,sauber,0,\N
1186,132,ferrari,16,\N
1187,132,mclaren,4,\N
1188,132,williams,3,\N
1190,132,sauber,1,\N
1197,133,ferrari,16,\N
1198,133,williams,4,\N
1200,133,sauber,1,\N
1202,133,mclaren,0,\N
1208,134,ferrari,10,\N
1209,134,mclaren,10,\N
1210,134,williams,5,\N
1212,134,sauber,0,\N
1219,135,ferrari,13,\N
1220,135,williams,10,\N
1221,135,mclaren,2,\N
1222,135,sauber,1,\N
1230,136,ferrari,16,\N
1231,136,williams,4,\N
1232,136,mclaren,5,\N
1234,136,sauber,0,\N
1240,137,ferrari,16,\N
1241,137,williams,6,\N
1242,137,mclaren,3,\N
1246,137,sauber,0,\N
1250,138,ferrari,16,\N
1254,138,mclaren,0,\N
1256,138,sauber,0,\N
1259,138,williams,0,\N
1260,139,ferrari,16,\N
1261,139,mclaren,4,\N
1262,139,williams,3,\N
1266,139,sauber,0,\N
1270,140,ferrari,16,\N
1271,140,mclaren,4,\N
1272,140,williams,3,\N
