constructorResultsId,raceId,constructorId,points,status,driver1,driver2
1,18,mclaren,14,\N,10,4
3,18,williams,9,\N,6,3
6,18,ferrari,1,\N,1,0
9,18,red_bull,0,\N,0,0
12,19,ferrari,10,\N,10,0
14,19,mclaren,10,\N,6,4
16,19,red_bull,2,\N,2,0
20,19,williams,0,\N,0,0
23,20,ferrari,18,\N,10,8
25,20,mclaren,4,\N,4,0
27,20,red_bull,2,\N,2,0
28,20,williams,1,\N,1,0
34,21,ferrari,18,\N,10,8
35,21,mclaren,6,\N,6,0
37,21,red_bull,4,\N,4,0
39,21,williams,2,\N,2,0
45,22,ferrari,16,\N,10,6
46,22,mclaren,8,\N,8,0
49,22,red_bull,2,\N,2,0
50,22,williams,1,\N,1,0
55,23,mclaren,11,\N,10,1
57,23,ferrari,6,\N,6,0
58,23,red_bull,5,\N,5,0
61,23,williams,2,\N,2,0
66,24,red_bull,6,\N,6,0
68,24,ferrari,4,\N,4,0
71,24,mclaren,0,\N,0,0
72,24,williams,0,\N,0,0
75,25,ferrari,18,\N,10,8
77,25,mclaren,5,\N,5,0
79,25,red_bull,3,\N,3,0
83,25,williams,0,\N,0,0
85,26,mclaren,14,\N,10,4
88,26,ferrari,5,\N,5,0
91,26,williams,1,\N,1,0
92,26,red_bull,0,\N,0,0
95,27,mclaren,14,\N,10,4
97,27,ferrari,9,\N,6,3
101,27,williams,0,\N,0,0
102,27,red_bull,0,\N,0,0
105,28,mclaren,14,\N,10,4
107,28,ferrari,6,\N,6,0
110,28,red_bull,0,\N,0,0
112,28,williams,0,\N,0,0
115,29,ferrari,10,\N,10,0
116,29,mclaren,13,\N,8,5
120,29,williams,1,\N,1,0
122,29,red_bull,0,\N,0,0
125,30,ferrari,10,\N,10,0
127,30,mclaren,6,\N,6,0
130,30,red_bull,1,\N,1,0
132,30,williams,0,\N,0,0
136,31,mclaren,10,\N,8,2
139,31,ferrari,3,\N,3,0
140,31,red_bull,1,\N,1,0
142,31,williams,0,\N,0,0
146,32,williams,9,\N,8,1
147,32,mclaren,6,\N,6,0
151,32,red_bull,2,\N,2,0
153,32,ferrari,0,\N,0,0
157,33,ferrari,8,\N,6,2
160,33,red_bull,1,\N,1,0
161,33,williams,0,\N,0,0
162,33,mclaren,0,\N,0,0
165,34,mclaren,10,\N,10,0
166,34,ferrari,14,\N,8,6
171,34,red_bull,0,\N,0,0
173,34,williams,0,\N,0,0
175,35,ferrari,16,\N,10,6
178,35,mclaren,6,\N,4,2
180,35,red_bull,0,\N,0,0
182,35,williams,0,\N,0,0
185,36,ferrari,13,\N,10,3
186,36,mclaren,14,D,8,6
189,36,williams,2,\N,2,0
193,36,red_bull,0,\N,0,0
196,37,mclaren,18,D,10,8
